Command,Link
system patch-rollback,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-pch-rbk.htm
system refresh-license,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-rfh-lic.htm
system refresh-network,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-rfh-net.htm
system restart,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-rst.htm
system reset-server-certificate,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-rst-srv-crt.htm
system shutdown,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-sht-dwn.htm
system start-rasession,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-srt-ras.htm
system sso-reset,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-sso-rst.htm
system status rasession,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-stat-ras.htm
system terminate-rasession,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-trm-ras.htm
system update,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-upd.htm
system update-luks-key,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-upd-lks-key.htm
system upgrade,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-upg.htm
