Command,Link,Description
show ap power-mgmt-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-power-mng.htm,"This command displays the power consumption information of the AP. Use this command to view the power derived and used by the AP, the status of IPM and ITM functions among other power consumption statistics."
show ap radio-summary,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-radio-sum.htm,This command displays AP radios registered to this controller.
show ap roamcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-roamcache.htm,This command displays the preroam cache entry in a tabular format.
show ap regulatory,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-regulatory.htm,This command displays the currently active Regulatory Cert.
show ap spectrum monitors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-spt-mon.htm,This command displays a list of APs terminating on the controller that are currently configured as spectrum monitors or hybrid APs.
show ap vlan-usage,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-vlan-usage.htm,This command displays the numbers of clients on each VLAN.
show ap wmm-flow,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-wmm-flow.htm,This command displays the Wireless Multimedia (WMM) flow table.
show ap machine-authcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showap-ma-auth.htm,"This command displays the active APs, AP scanning, and AP synchronization status for authentication cache."
show app-monitoring list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-app-mon-list.htm,This command displays the list of pre-defined application monitoring settings.
show aps,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showaps.htm,This command displays all active APs in the cluster.
show aps scanning,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showap-scan.htm,"This command displays all active Instant APs, Instant AP scanning status."
show app-services,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-app-services.htm,This command displays the list of application services available on AP.
show arm config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ata-cur-conf.htm,This command displays the tunnel details for an AP.
show arp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-arp.htm,This command displays Address Resolution Protocol (ARP) entries for the controller.
show aruba-central,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-aruba-central.htm,This command displays information about the Aruba Central account.
show aruba-central control-channel,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ref-aruba-cen-cont-chan.htm,This command displays the details of Aruba-Central control channel.
show aruba-central control-channel-counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-acccc.htm,This command displays information about all the control channel counters.
show aruba central details,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ref-aruba-cen.htm,This command displays the number of references to Aruba Central.
show aruba central smart amon counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ac-sac.htm,This command displays information about all the smart AMON counters.
show aruba central stats counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ac-sc.htm,This command displays information about statistic counters.
show aruba central stats counters all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ac-sca.htm,This command displays information about all the statistic counters in Aruba Central account.
show ata counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ata-count.htm,This command displays the ata counters for AP. Use the output of this command to view a list of ata counters available for AP.
show ata endpoint,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ata-endpoint.htm,This command displays the details of the tunnels for an AP.
show auth-tracebuf,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-auth-tracebuf.htm,This command displays the trace buffer for authentication events of a gateway. Use the output of this command to troubleshoot 802.1X authentication errors. Include the <address> parameter to filter data by the MAC address of the client which is experiencing errors.
show audit-trail,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-audit-trail.htm,This command displays the audit trail log of a gateway.
show audit-trail history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-audit-trail-hist.htm,This command displays the controller’s audit trail history log.
show auth-survivability cached-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-auth-surviv.htm,This command displays authentication credentials cached by the AP.
show boot,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-boot.htm,"Display boot parameters, including the boot partition and the configuration file to use when booting the controller."
show boot history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-boot-hist.htm,"This command displays the gateway's reload and upgrade history including the reboot history, reboot cause, user and time stamp."
show captive-portal,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cap-portal.htm,This command displays the auto whitelist table for a captive portal.
show captive-portal-domains,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cap-portal-do.htm,Captive portal is one of the methods of authentication. A captive portal presents a web page which requires action on the part of the user before network access is granted.
show cellular config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showcellular.htm,This commands display the cellular configuration details of the AP.
show cellular status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showcellular-stat.htm,This command displays the status of the cellular configuration for the AP.
show clarity,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-config.htm,This command displays the status and history of the clarity configuration parameters on the AP.
show clarity history sta,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-hstry-sta.htm,This command displays the history of the passive STA statistics generated by inline monitoring.
show clarity history sta-dns,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-hstry-sta-dns.htm,This command displays the history of the STA DNS statistics generated by inline monitoring.
show clarity stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-stas.htm,This command displays the total number of client events since AP boot-up. It also helps in debugging the discrepancy problem between the events sent to Aruba Central.
show clients,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients.htm,"This command displays details about the AP clients. Use this command to view information about the AP clients. The AP client table provides basic information about the clients. For detailed information of each client, use the required parameter and specify the MAC address of the client."
show clients debug,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients-debug.htm,"This command displays detailed information about the clients MAC and IP addresses, client role, authentication aging time, and accounting intervals, ESSID and BSSID details, VLAN and multicast groups to which the client is associated, and DHCP roles and options associated with the client."
show clients debug advanced,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-cl-db-adv.htm,"This command displays detailed information about the clients MAC and IP addresses, connect status, and authentication options associated with the client."
show client status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-client-status.htm,This command displays the current status for a client based on the specified MAC address.
show clients wired,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients-wired.htm,This command displays the list of clients connected to wired or Ethernet interface.
show clients wired debug,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients-wired-deb.htm,This command displays the end-to-end information of the wired clients for debugging purpose.
show clock,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock.htm,This command displays the current time on the managed device.
show clock summer-time,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock-summ-time.htm,This command displays summer (daylight savings) time settings.
show clock timezone,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock-timezone.htm,This command displays the configured timezone on the AP.
show clock timezone all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock-timezone-all.htm,This command displays all the configured timezones for the AP.
show cluster,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cluster.htm,This command displays the cluster configuration of the APs.
show cluster-config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-cluster-conf.htm,This command displays the cluster configuration for the control plane security feature.
show cluster bss-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cluster-bss.htm,This command displays the cluster bss details of the APs.
show cluster-security,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clustersec.htm,This command displays cluster security (DTLS) configuration details of the AP in the network.
show cluster-security connections,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clst-sec-conn.htm,This command displays the details of the connections monitored in the swarm by cluster security DTLS in the network.
show cluster-security peers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clstrsec-peer.htm,This command displays cluster security configuration details for all the APs in the cluster.
show cluster-switches,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cl-switches.htm,Execute this command on a master switch using control plane security in a multi-master environment to show other Gateways to which it is connected.
show cluster-tech-support,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cl-tech-sup.htm,This command displays cluster-related information in relation to the gateway.
show configuration,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-conf.htm,"This command displays the saved configuration on the AP. Issue this command to view the entire configuration saved on the AP, including all profiles, ACLs, and interface settings."
show configuration effective,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-conf-eff.htm,"This command displays the effective configuration of devices connected to the node. Issue this command to view the entire configuration saved on the Gateway, including all profiles, ACLs, and interface settings."
show configuration failure,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-conf-fail.htm,"This command displays all the configuration errors of the configuration node. Issue this command to view the entire configuration saved on the gateway, including all profiles, ACLs, and interface settings."
show configuration partial,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-cnf-par.htm,This command displays incremental configuration changes between the last two commits.
show configuration pending,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-conf-pen.htm,"This command displays the pending configuration of the configuration node. Issue this command to view the entire configuration saved on the gateway, including all profiles, ACLs, and interface settings."
show configuration received,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-conf-rec.htm,"This command displays the received configuration from the Mobility Conductor. Issue this command to view the entire configuration saved on the gateway, including all profiles, ACLs, and interface settings."
show control-plane-security,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-con-pln-secr.htm,This command displays the current configuration of the control plane security profile.
show country,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-country.htm,This command displays the country and domain upgrade trail of the controller. A controller’s country code sets the regulatory domain for the radio frequencies used by the Gateways. This value is typically set during the controller’s initial setup procedure. Issue this command to determine the country code specified during setup.
show country-codes,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-country-co.htm,This command displays the list of supported country codes for the AP.
show country trail,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-country-trail.htm,This command displays the country and domain upgrade trail of the controller. A controller’s country code sets the regulatory domain for the radio frequencies used by the Gateways. This value is typically set during the controller’s initial setup procedure.
show cp-bwcontracts,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cp-bwcontr.htm,This command displays a list of Control Processor (CP) bandwidth contracts for whitelist ACLs.
show cp-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cp-stats.htm,This command displays the control plane (CP) queue statistics.
show cpu,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpu.htm,This command displays the CPU load for application and system processes.
show cpu details,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpu-details.htm,This command displays the additional CPU troubleshooting statistics. Use this command to view CPU load for application and system processes.
show cpuload,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpuload.htm,The show cpuload command displays the controller CPU load for application and system processes.
show cpuload current,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpuload-curr.htm,This command displays the exact controller CPU usage and load statistics for application and system processes.
show crashinfo,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-crashinfo.htm,This command displays the list of crashes in the system.
show crypto dp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crypto-dp.htm,"This command displays the latest crypto data packets. Use this command to send crypto data packet information to the controller log files, or to clear a crypto ISAKMP state associated with a specific IP address."
show crypto dynamic-map,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-dyn-map.htm,This command displays IPsec dynamic map configurations. Dynamic maps enable IPsec SA negotiations from dynamically addressed IPsec peers.
show crypto ipsec ipsec-map-id,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-ipsec.htm,This command displays the current IPsec configuration on the controller. Issue this command to view IPsec map to ID mapping.
show crypto ipsec sa,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-ipsec-sa.htm,This command displays the security associations (SA) of IPsec configuration on the gateway.
show crypto ipsec transform-set,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-ipsec-trsfrm-set.htm,This command displays the current IPsec configuration on the managed device. Execute the show crypto ipsec command to view the Maximum Transmission Unit (MTU) size allowed for network transmissions using IPsec security. It also displays the transform sets that define a specific encryption and authentication type.
show crypto isakmp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-isakmp.htm,"This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto isakmp command to view ISAKMP settings, statistics and policies."
show crypto isakmp groupname,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp.htm,"This command displays the the Internet Key Exchange (IKE) Aggressive group name for the Internet Security Association and Key Management Protocol (ISAKMP). Aggressive-mode IKE is a 3- packet IKE exchange that does not provide identity-protection, but is faster, because fewer messages are exchanged."
show crypto isakmp key,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-key.htm,This command displays information on the Internet Key Exchange (IKE) pre-shared keys (PSK) for Internet Security Association and Key Management Protocol (ISAKMP).
show crypto isakmp policy,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-isakmp-pol.htm,"This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto isakmp command to view ISAKMP settings, statistics and policies."
show crypto isakmp policy,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-pol.htm,This command displays the pre-defined and manually-configured IKE policy details for the Internet Security Association and Key Management Protocol (ISAKMP).
show crypto isakmp sa,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-sa.htm,This command displays the crypto security associations for the Internet Security Association and Key Management Protocol (ISAKMP).
show crypto isakmp stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-isakmp-stat.htm,"This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto isakmp command to view ISAKMP settings, statistics and policies."
show crypto isakmp uplink-vlan,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-upl.htm,This command displays the uplink VLAN information for Internet Security Association and Key Management Protocol (ISAKMP).
show crypto map,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cryp-map.htm,"This command displays the global, dynamic, and default IPsec map configurations."
show crypto oto,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crypto-oto.htm,This command displays the current state of the connection between the tunnel orchestrator and the gateway.
show crypto-local ipsec-map,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cryp-lcl-ipsc.htm,This command displays the current IPsec map configuration on the controller. The command show crypto-local ipsec displays the current IPsec configuration on the controller.
show crypto-local isakmp ca-certificate,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crylcl-isk-ca.htm,This command displays the IKE Certificate Authority (CA) certificate details used to authenticate VPN clients for the Internet Security Association and Key Management Protocol (ISAKMP).
show crypto-local isakmp ca-certificate,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-iskmp-ca.htm,This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto-local isakmp command to view IKE parameters.
show crypto-local isakmp certificate-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-iskmp-cert-grp.htm,This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto-local isakmp command to view IKE parameters.
show crypto-local isakmp dpd,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crylcl-isdpd.htm,This command displays the Internet Key Exchange (IKE) Dead Peer Detection (DPD) configuration on the gateway for site-to-site VPNs.
show crypto-local isakmp server-certificate,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-iskmp-svr-cert.htm,This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto-local isakmp command to view IKE parameters.
show crypto-local pki,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-trust-ca.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics."
show crypto-local pki CRL,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-crl.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics."
show crypto-local pki ocsp-client-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-ocsp-clnt-stat.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics."
show crypto-local pki OCSPResponderCert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crylcl-pk-rsp.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics."
show crypto-local pki OCSPSignerCert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-ocsp-sign-stat.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics."
show crypto-local pki PublicCert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crylcl-pkpub.htm,This command displays the public key information of a certificate. This certificate allows an application to identify an exact certificate.
show crypto-local pki rcp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-rcp.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics."
show crypto-local pki ServerCert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-svr-cert.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics."
show crypto-local pki service-ocsp-responder,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crypk-sv-oc.htm,"This command displays the statistics of OCSP responder service. The default is disabled. To enable this option, a CRL must be configured for this revocation checkpoint, as this is the source of revocation information in the OCSP responses."
show crypto-local pki TrustedCA,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crylcl-pk-trs.htm,This command displays trusted CA certificate information. This certificate can be either a root CA or intermediate CA.
show database synchronize,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-database-sync.htm,This command displays database synchronization status.
show datapath,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath acl id 4,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-acl-4.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath acl id 2700,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-acl-2700.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath acl id 2701,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-acl-2701.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath acl id 2702,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-acl-2702.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath application counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dp-appl-cntr.htm,"This command displays the datapath application statistics containing application counters and errors generated by applications running on a particular gateway. By default, it displays the combined statistics of all CPUs."
show datapath bridge,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-bridge.htm,This command displays the system statistics for your Instant AP. Use this command to display various datapath statistics for debugging purposes.
show datapath bridge counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-bridge-countr.htm,This command displays the system statistics for your Instant AP. Use this command to display various datapath statistics for debugging purposes.
show datapath bridge table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-bridge-table.htm,This command displays the system statistics for your Instant AP. Use this command to display various datapath statistics for debugging purposes.
show datapath bwm-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-bwm-table.htm,This command displays the system statistics for your Instant AP. Use this command to display various datapath statistics for debugging purposes.
show datapath cluster details,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-db-cl-det.htm,"This command displays the peer statistics for cluster heartbeat requests sent, responses received, and heartbeats missed, and so on."
show datapath cluster heartbeat counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-dp-cl-hb.htm,This command displays information related to cluster heartbeat counters.
show datapath cp-bwm table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dp-cp-bwm-tab.htm,This command displays the data path CP bandwidth management table information on a gateway.
show datapath crypto counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-crypt-countr.htm,Displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath debug dma counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-dbg-dma-countr.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath debug eap counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-dbg-eap-countr.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath debug opcode,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-dbg-opcode.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath debug trace-buffer,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-dbg-trc-buffer.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath device,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-dtpth-dev.htm,This command displays the various datapath counters for packets that are received from and sent to the devices.
show datapath dns-id-map,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath-dns-id-map.htm,This command displays the system statistics for your AP. Use this command to display various datapath statistics for debugging purposes.
show datapath dns-ip-learning,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-dtpth-dns-ip-lrn.htm,This command displays the DNS IP carrier information learned by the datapath on the Aruba wireless gateway.
show datapath dpi-classification-cache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-datapath%20dpi-class-cache.htm,This command displays the app classification cached entries created in datapath from Qosmos cache. The app classification cache from datapath is only available for applications recognized as cacheable by Qosmos.
show datapath exthdr,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-exthdr.htm,This command displays datapath default IPv6 extended header map.
show datapath firewall-agg-sess,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-dp-frwl-agg-sess.htm,This command displays the firewall aggregate sessions table and the corresponding statistics.
show datapath frame,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-frm.htm,This command displays frame statistics that are received and transmitted from the datapath.
show datapath frame counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-frm-cntr.htm,This command displays the datapath frame statistics.
show datapath hardware counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-hw-cntr.htm,This command displays the hardware counters.
show datapath hardware statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-hw-stat.htm,This command displays hardware packet statistics.
show datapath internal dir poe file class_drop_ctrs,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-dp-idirpoefcd.htm,This command displays internal details for class drop counter files in the POE directory.
show datapath internal dir poe file ecc_1bit_errs,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10sh-dp-idirpoeecc.htm,This command displays internal details for the single bit ECC error files in the POE directory.
show datapath internal dir poe file enq_msg_ctrs,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-enq-msg-ctrs.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath internal dir poe file err_regs,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-err-regs.htm,This command displays internal POE error information.
show datapath internal dir poe file stats_n_dbg,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-stat-n-dbg.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath internal dir poe file vec_drop_ctrs,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-vec-drp-ctrs.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath internal dir sae file error_status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-err-stts.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath internal dir sae file int_status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-int-stts.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath internal dir sae file msg_cnt,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-msg-cnt.htm,This command displays the system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath internal dir sae file op_cnt,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-op-cnt.htm,This command displays system statistics for the managed device. Use the show datapath command to display various datapath statistics for debugging purposes.
show datapath ip-geolocation,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-dp-ip-geo-locn.htm,This command displays the IP address ranges and the country information.
show datapath ip-mcast destination,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-ip-mcast-dest.htm,This command displays datapath tunnel and port membership.
show datapath ip-mcast group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-dtpt-ip-mcast-grp.htm,This command displays datapath Layer 3 groups.
