Command,Link,Description
show access-rule-all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-access-rule-all.htm,This command displays the details of the access rules configured for all wired and wireless profiles on the Instant AP.
show acl ace-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aclace-tab.htm,This command displays an access list entry (ACE) table for an ACL.
show acl ace-table 4,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-acl-ace4-tab.htm,This command displays an access list entry (ACE) table for an ACL.
show acl domains,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-acl-domains.htm,This command displays the details of ACL domain names.
show acl hits,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-acl-hits.htm,"This command displays internal ACL hit counters. Issue this command to see the number of times an ACL defined a user’s role, or traffic and firewall policies for a user session."
show airgroup,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-airgrp.htm,The following example displays the current status of the AirGroup configuration and configured AirGroup services.
show airgroup central-cache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-central-cache.htm,This command displays AirGroup server cache entries that can be discovered on an AP.
show airgroup central-cache checksum_table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-central-cache-checksum-table.htm,This command displays AirGroup server Central cache checksum table that can be discovered on an AP.
show airgroup central-cache entries,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-central-cache-entries.htm,This command displays AirGroup server cache entries that can be discovered on an AP.
show airgroup central-cache servers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-central-cache-servers.htm,This command displays AirGroup server entries that can be discovered on an AP.
show airgroup debug-log,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-debug-log.htm,This command displays AirGroup-specific debug logs.
show airgroup debug statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-air-dbg-stats.htm,This command displays the statistical data and configuration status slave cluster mobility, the status values and details of counter, the IP address of the AP, IP address of the VC, and various counter details.
show airgroup discover-cache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-discvr.htm,This command displays the cache entries of a server running AirGroup services.
show airgroup discover-cache checksum_table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgp-discvr-chcksm.htm,This command displays the cache checksum table of servers running AirGroup services.
show airgroup discover-cache entries,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgp-discvr-csh-entris.htm,This command displays the cache entries of servers running AirGroup services.
show airgroup discover-cache servers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-discvr-csh-svr.htm,This command displays the servers entries connected to the Access Point.
show airgroup global policy,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-gbl-plcy.htm,This command displays the list of global policies on the server or servers running AirGroup services.
show airgroup service,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-srv-vbs.htm,This command displays status of configured AirGroup services and list out the service IDs for each AirGroup service.
show airgroup users,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-users.htm,This command displays the AirGroup user table.
show airgroup wired-servers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-wird-srv.htm,This command displays entries of the wired server running the AirGroup services.
show airgroupservice,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-service.htm,This command displays additional information of AirGroup services.
show airgroupservice-ids,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-serv-ids.htm,This command displays the list of service ids associated with the entered AirGroup services name.
show alert global,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-alerts-gl.htm,This command displays the list of client alerts for an Instant AP. The client alerts occur when clients are connected to the Instant network. Alerts are generated when a client encounters problems while accessing or connecting to the Instant AP network.
show allowed-aps,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-allowed.htm,This command displays the list of Instant APs that are allowed to join the Instant AP cluster. This command also indicates if the new Instant APs are allowed to join the network.
show amon msg-buffer-size,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-amn-msg-bfr.htm,This command displays the size of the AMON packets on the gateways.
show amon source-interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-asi.htm,This command displays the source VLAN interface of AMON packets on the gateway.
